date,item,detail,evidence
2011-01-07 to 2011-03-25,Layout D1,"Word bulletins: ""Prison Population & Accommodation Briefing"". Total = male + female + prisoners held in police/court cells under Operation Safeguard. No IRC split.","raw/weekly_doc_txt, 12 files"
2011-04-01 to 2011-12-02,Layout D2,"Word bulletins switch to ""Population and Capacity Briefing"". Total includes NOMS-operated IRCs.","raw/weekly_doc_txt, 34 files"
2011-12-09 to ~2022,Layout A1,"XLS/ODS, columns Total | Prisons | NOMS (later HMPPS) Operated IRCs. Total INCLUDES IRCs.",485 bulletins
~2020,IRC naming,"""NOMS Operated IRCs"" becomes ""HMPPS Operated IRCs"". Same series.",bulletin headers
~2022 to 2024-04,Layout A2,"Single ""This week"" column. IRC breakdown dropped; rows renamed to ""Population in male/female estate"".",165 bulletins
2023-11-03,Operating Margin row appears,Margin first published as an explicit row in the weekly bulletin.,first bulletin carrying the row
2024-10-21,Layout B + reporting day change,"New ""Data"" sheet, columns Total | Adult Male | Female | YCS. Headroom published directly. Reporting day moves Friday to Monday. YCS separated out.",90 bulletins; first Monday-dated bulletin 21 Oct 2024
2011 to 2023,"Operating margin 2,000","Stated in definitions text as ""less 2,000 places"".",definitions paragraph
2022-08 to 2023-09,Margin stepped down,"2,250 to 2,000 to 1,950 to 1,830 to 1,680 to 1,480 to 1,340 across 2022-23, per the 12-months-ago column.",operating_margin_log.csv
2023-11-03,"Margin 1,350","Settles at 1,350 for the adult male + female + YCS estate combined.",weekly bulletin
2025-07-28,"Margin 1,640","Raised from 1,350 to 1,640 (adult male 1,460, female 120, YCS 60). Raises published headroom by 290 with no change in physical capacity.",weekly bulletin definitions table
2011-11-05,Source date error,MoJ dates this bulletin Saturday 5 Nov 2011. Every other 2011 bulletin is a Friday. Reference date is almost certainly Fri 4 Nov. Left as published and flagged.,title and in-file date both say 05/11/2011
"2013-12-27, 2015-01-08, 2016-04-01, 2016-08-19",Stale in-file dates,In-file cell date disagrees with the title date by 5 to 365 days; title date used because it falls on the era reporting weekday.,date_source column
2021-11-26,Capacity restatement,"Bulletin reports last-week UOC as 80,904 where the previous bulletin published 80,912. 8-place restatement, unexplained.","weekly_consistency_report.csv, the only mismatch in 711 pairs"
bank holidays,Skipped weeks,"24 gaps of 14 days and 3 of 21 days, clustered on Easter and New Year. One recovered from the following bulletin last-week block; the rest have no published value.",week_gap_days column
2008-2015 to 2014-2020,Projection layout: scenario columns,"Central path is labelled Medium, No change, Scenario 2 or Central depending on edition. Scenario 2 is CENTRAL in the 2012 and 2013 editions but HIGH in the 2014 edition, so generic scenario labels must be resolved against the explicit central column.",src/parse_projections.py resolve_header
2015-2021 onward,Projection layout: single central path,"Table A1/1.1 switches from scenario columns to one central path broken down by sentence type (Remand, Determinate, Indeterminate, Recall, Non-Criminal, Fine Defaulters). Low/high move to a separate uncertainty table.",Contents sheets
varies,Projection reference month moves,"End June for 2008-2019 editions, 1 June in 2017-2022, end September in 2020-2026, 1 July in 2021-2026, end November in 2022-2027 and 2023-2028, end September from 2024-2029. Horizons are not comparable without using the published dates.",projections_editions.csv ref_month
2016-2021,Short central table,"Table A1 publishes only four forward years (2017 to 2020), not five.",raw/projections/2016-2021.xlsx
2022-2027,Central block truncated in source,Table 1.1 Central block stops at November 2024 while the Low and High blocks run to November 2026. The missing central years are recoverable from the Table A4 monthly appendix.,raw/projections/2022-2027.ods Table_1_1 vs Table_A4
2011-2017,"Base year is projected, not actual","The 30 June 2011 row is a scenario value, not an outturn, so it is not a valid calibration point. Its 1,160 gap against the bulletin is the largest in the calibration table and should be excluded.",projection_calibration.csv
2008 to 2025,Projection scope vs bulletin scope,Editions that publish their own base-year actual match the weekly bulletin TOTAL (which includes HMPPS-operated IRCs pre-2022) more closely than the prisons-only figure: mean absolute gap 258 against pop_total versus 394 against pop_prisons. Scoring therefore uses pop_total.,projection_calibration.csv
2017-2022 onward,Editions publish an unrounded base actual by component,"Table 1.1 first row is outturn, not a projection, and is broken down by custody type. Nine such observations exist (Jun 2017, Jun 2018, Jun 2019, Sep 2020, Jul 2021, Nov 2022, Nov 2023, Sep 2024, Sep 2025). This is the only published source of actual population by custody type that sits inside the projection files themselves.",projections_long.csv scenario=actual
2015-2021 to 2019-2024,Fine defaulters column renamed,Older editions label the column Fine; from the 2020-2026 edition it is Fine Defaulters. Merged to one field.,src/decompose_projections.py tidy()
,Component matching tolerance,Projection reference days vary between the 1st and last of the month (for example 1 June 2017 against 30 June 2017). Decomposition matches on year and month and records the day gap; the largest gap used is 29 days.,error_decomposition.csv day_gap
monthly bulletins,No custody-type split,"The monthly bulletin is a by-establishment table of Baseline CNA, In Use CNA, Operational Capacity and Population. It carries no remand/sentenced breakdown, so it cannot supply actual components. It is the right source for WP4 supply modelling instead.","MonthlyBulletin sheet, all editions checked"
2026-08-24,"Capacity is contracting, not flat","Useable operational capacity has fallen from 89,369 on 8 June 2026 to 88,937 on 24 August, about -48 a week on the 13 and 26 week trends. Headroom is being squeezed from both ends: roughly +143/week population and -48/week capacity, so about -190/week combined. Press framing of ""97% capacity"" hides a shrinking denominator.","weekly_population_capacity.csv, uoc_total"
2026-08-31,Bank holiday skip confirmed prospectively,"No bulletin published for 31 August 2026 (summer bank holiday). 24 August remains the latest observation, so press figures quoted on 1-2 September derive from the 24 August bulletin.","gov.uk 2026 weekly page, 31 attachments, refreshed 3 Sep 2026"
2026-09-01,Press headroom figure does not match the bulletin,"Reports of ""about 1,500 free spaces in the male estate"" against an adult male headroom of 1,665 on 24 August. Population as a share of useable operational capacity is 97.6%, consistent with the ""97% capacity"" claim; as a share of full operational capacity including the 1,640 margin it is 95.9%.",weekly bulletin 24 Aug 2026 vs BBC/PA reporting
2026-10-01 onward,Progression release schedule is now a dated input,"Revised plan signed into law: 700 on 1 Oct, 650 on 13 Oct, 650 on 10 Nov, 550 on 8 Dec, 600 on 12 Jan 2027, 500 on 9 Feb, 200 on 9 Mar, 200 on 13 Apr. Listed tranches total 4,050 against an estimated 4,500 overall, so residual tranches are undated. Start delayed one month from 2 September; exclusions cut about 1,400 from the original total.",data/manual/policy_events_2026.csv
2026-09-01,"18-year-olds in YOIs is a reclassification, not a release","Holding 18-year-olds in YOIs until shortly before their 19th birthday moves stock from the adult male estate to YCS. It does not reduce the total population but shifts headroom between sub-estates that carry separate operating margins (adult male 1,460, YCS 60). Must be modelled as a transfer or it will look like a spurious release.",Commons statement 1 Sep 2026
2018-03 to 2026-07,Monthly panel reconciles exactly to the weekly series,Sum of establishment operational capacity less the operating margin equals the Total row useable operational capacity and the weekly bulletin UOC on the report date. Across 101 months mean absolute UOC gap is 0.5 and mean absolute population gap is 7. This is a hard cross-validation of both parsers.,monthly_establishments_estate_totals.csv
2018 to 2026,Full operating margin history derived from monthly Total row,"Margin = sum of establishment op cap minus the published Total UOC. Path: 2,000 (2018) to 3,000 (May 2020, COVID single-cell working) to 2,750 (Dec 2021), 2,500 (Apr 2022), 2,250 (Jul 2022), 2,000 (Sep 2022), 1,950 (Mar 2023), 1,830 (Apr 2023), 1,680 (Jun 2023), 1,480 (Jul 2023), 1,340 (Sep 2023), 1,350 (Nov 2023), 1,640 (Jul 2025). Thirteen values, more complete than the weekly-derived log.",outputs/operating_margin_log_monthly.csv
monthly bulletins,"Total row op cap column is UOC, not a sum","The Total row reports useable operational capacity (post-margin), not the sum of the column above it. Summing the column and reading the Total row give different things by exactly the operating margin.","2018-03 bulletin, Total row 86,515 vs column sum 88,515"
parsing,Two rows that break naive parsers,Sub total and Total rows sit inside the establishment table and double the estate if counted. Closed or mothballed establishments (Blantyre House 2018-19) publish a partial row with baseline CNA only. The IRC section heading is long enough to trip a footnote length rule and truncate the table.,src/parse_monthly.py
2026-03 to 2026-07,"Capacity decline is de-crowding, not cells out of use","Operational capacity fell 900 while baseline CNA fell 32 and in-use CNA fell 116. The estate is operating less crowding above CNA, not losing accommodation. Cells out of use has been roughly flat near 4,000 since 2025.",monthly_establishments.csv
2025-07 to 2026-07,New prison capacity is more than offset by attrition,"Millsike added 614 and Fosse Way 227 over twelve months, yet estate operational capacity fell 478 net. In 2026/27 to date new prisons contributed +126 against -1,026 from the rest of the estate. Gross additions are not net additions and the supply model must forecast attrition explicitly.",outputs/capacity_attrition_monthly.csv
2025-04 onward,Millsike ramp-up and shortfall,"Millsike reached 50% of its eventual peak in 4 months and 90% in 12, faster than Five Wells (8 and 20) or Fosse Way (5 and 31). But it is operating at 1,158 against its own certified 1,468, i.e. 79%, fifteen months after opening, where the older new-builds all sit at 97 to 101% of CNA. Announced capacity has arrived early but short.",outputs/new_prison_rampup.csv
2023-03 to 2026-06,Establishment-level officer staffing exists and is usable,"HMPPS workforce quarterly, annex ""Prison and Probation Officer staffing levels against targets"", Table 4, gives prison officer staff in post (FTE), target and gap by establishment at eight quarterly dates. 109 establishments, matching 104 of the 122 in the capacity panel on normalised names.",src/staffing_test.py
2024-03 to 2026-06,Officer staffing against target has deteriorated sharply,"Prison officers fell from 69,173 FTE (Mar 2024) to 64,730 (Jun 2026), a loss of 4,443, while targets rose from 68,540 to 70,268. Staffing moved from 101% of target to 92%, and the shortfall from +633 to -5,538 FTE.",outputs/officer_staffing_estate.csv
2026-04 to 2026-07,NEGATIVE RESULT: staffing does not explain which prisons cut capacity,"Cross-sectional regression of the change in operational capacity on the change in officer FTE gives slope +0.04 places per FTE, t=0.27, R2=0.001. A placebo window (Mar 2025 to Mar 2026) is also null. The full-span correlation (r=+0.50) is a scale effect, not a crowding effect: in-use CNA correlates with staffing just as strongly (r=+0.52), so the long-run relationship is simply that larger and growing establishments have more officers and more of everything.",outputs/staffing_capacity_tests.csv
